id,organization_id,ticket_id,purchase_id,tenant_id,bed_id,apartment_id,property_id,item_name,quantity,unit_price,actual_cost,vendor_name,cost_scope,distributed_amount,billing_month,maintenance_type,parts_details,diagnosis_summary,notes,created_at,distributed_beds
93c7981c-066a-4a8e-9365-358d216cc596,00000000-0000-0000-0000-000000000001,f578ef87-8153-4c0a-98bd-4feed4ac6d3c,null,8123af5e-305b-80f8-20db-4d54b7f628c7,7c369e8a-97c2-59de-b4b9-6f506fb0812f,03edc7c5-4c46-b55e-523d-9fb7be29910b,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,Labour,1,660,660,In-house,bed,660,2026-07,Other,[],"{""causes"":[{""cause"":""Keys are misplaced or lost."",""severity"":""low"",""solution"":""Check common areas, ask roommates, or retrace steps to find the keys. If not found, a new set will need to be issued."",""probability"":0.8,""estimatedCost"":""₹0 - ₹200 (for a new key if lost)"",""requiredParts"":[{""name"":""New key blank"",""estimatedPrice"":""₹20 - ₹50""}]},{""cause"":""Keys were never issued or provided during check-in."",""severity"":""low"",""solution"":""Contact the hostel management to request the main door keys. They should be able to provide a set immediately."",""probability"":0.15,""estimatedCost"":""₹0""},{""cause"":""Incorrect keys were provided."",""severity"":""low"",""solution"":""Verify the key with the hostel management and request the correct set. This might involve exchanging the incorrect key for the right one."",""probability"":0.05,""estimatedCost"":""₹0""}],""summary"":""The resident is requesting main door keys, indicating they either do not have them, have misplaced them, or were given incorrect ones. The issue has been ongoing for over a week but is considered minor."",""urgency"":""low"",""recommendedAction"":""The resident should first thoroughly search for the keys. If unsuccessful, they should contact hostel management immediately to obtain a new set or the correct keys. Hostel management should verify key issuance records.""}",Resolution posting,2026-07-24 06:00:48.686994+00,"{""C1"":660}"
67476601-49c4-4531-87e3-6773fe71b145,00000000-0000-0000-0000-000000000001,9e794fe8-7c9d-4006-b59c-a654afcd2644,null,d751c131-c1c9-4f5c-88f8-7e4c6cb710b3,caf1f559-25d7-959b-c416-cb63f4ded6cc,b0d4d2c8-f6ee-bc16-ffd7-fc33c8db8571,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,Labour,1,3400,3400,In-house,bed,3400,2026-07,RO Water Issues,[],"{""causes"":[{""cause"":""Clogged RO Filter"",""severity"":""medium"",""solution"":""The RO filter is likely clogged with sediment and impurities, reducing water flow and quality. It needs to be replaced."",""probability"":0.6,""estimatedCost"":""₹1000"",""requiredParts"":[{""name"":""RO Filter Cartridge"",""estimatedPrice"":""₹800 - ₹1200""}]},{""cause"":""Loose Fittings or Damaged O-ring"",""severity"":""low"",""solution"":""The water leak is likely due to loose connections/fittings or a damaged O-ring within the filter housing. All fittings should be inspected and tightened. If an O-ring is damaged, it needs replacement."",""probability"":0.3,""estimatedCost"":""₹250"",""requiredParts"":[{""name"":""O-ring (if damaged)"",""estimatedPrice"":""₹50 - ₹100""}]},{""cause"":""Cracked Filter Housing"",""severity"":""medium"",""solution"":""A crack in the filter housing itself could be causing the leak. If found, the damaged housing needs to be replaced."",""probability"":0.1,""estimatedCost"":""₹700"",""requiredParts"":[{""name"":""RO Filter Housing"",""estimatedPrice"":""₹500 - ₹700""}]}],""summary"":""The RO water filter needs cleaning/replacement, and there is a water leak, likely from loose fittings or a damaged O-ring, or potentially a cracked filter housing."",""urgency"":""low"",""recommendedAction"":""A technician should inspect the RO unit to identify the exact source of the leak and the condition of the filters. The filter should be replaced, and any loose fittings tightened or damaged O-rings/housing replaced as necessary.""}",Resolution posting,2026-07-20 09:34:00.036114+00,"{""C1"":3400}"
e86190db-da74-4985-bba0-ebd553f48e5b,00000000-0000-0000-0000-000000000001,f1c62a11-792d-4692-9de7-fc5834c32a22,null,f91c2854-a88b-4630-b2a6-c48401e4dd14,42541fce-4dd2-805a-5d01-5aa7e5db8726,03edc7c5-4c46-b55e-523d-9fb7be29910b,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,Labour,1,440,440,In-house,bed,440,2026-07,Other,[],"{""causes"":[{""cause"":""Lost or Damaged Key"",""severity"":""low"",""solution"":""Your key might be lost or damaged, making it difficult to use. The most common solution is to get a duplicate key made. If the original key is damaged, a new one can be cut from a spare or by re-keying the lock if a spare isn't available. Please contact your PG/Hostel management for assistance."",""probability"":0.7,""estimatedCost"":""INR 100 - 300"",""requiredParts"":[{""name"":""Key Blank"",""estimatedPrice"":""INR 50 - 150""}]},{""cause"":""Minor Lock Mechanism Issue"",""severity"":""low"",""solution"":""The lock mechanism itself might be slightly stiff, dirty, or misaligned, causing the key to not work smoothly. Often, lubricating the lock with graphite powder or a suitable lock lubricant can resolve this. If the issue persists, the lock cylinder might need a minor adjustment or replacement. Please inform your PG/Hostel management."",""probability"":0.3,""estimatedCost"":""INR 200 - 800"",""requiredParts"":[{""name"":""Lock Lubricant (e.g., graphite powder or WD-40)"",""estimatedPrice"":""INR 50 - 150""},{""name"":""Lock Cylinder (if replacement needed)"",""estimatedPrice"":""INR 300 - 700""}]}],""summary"":""You are experiencing a minor issue with your room key, which started yesterday and is limited to your room. You can still manage the situation."",""urgency"":""low"",""recommendedAction"":""Please report the key issue to your PG/Hostel management immediately. They can help you get a duplicate key, inspect the lock, or arrange for a repair/replacement as needed.""}",Resolution posting,2026-07-24 11:04:30.561935+00,"{""A1"":440}"
9e34115f-cfe2-4eed-8da6-d6a05ad32418,00000000-0000-0000-0000-000000000001,7934badb-1059-4191-a4f4-a54e31d99bba,null,890b32d9-f754-8150-5a18-8a21fcdf3828,f825c883-6815-d3b1-7a49-620004f0a7ae,c2ff0c11-4d1b-7b9b-b93c-aa37c9b6c40b,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,RO Membrane,1,650,650,In-house,bed,650,2026-07,RO Water Issues,[],"{""causes"":[{""cause"":""Loose connection in the RO water filter's plumbing."",""severity"":""medium"",""solution"":""Tighten all visible connections around the RO filter. If the leak persists, disconnect and reconnect the pipes, ensuring a snug fit."",""probability"":0.6,""estimatedCost"":""₹0 - ₹50 (for basic tools if not available)""},{""cause"":""Cracked or damaged RO filter housing."",""severity"":""medium"",""solution"":""Inspect the filter housing for any visible cracks. If found, the housing will need to be replaced."",""probability"":0.25,""estimatedCost"":""₹300 - ₹800"",""requiredParts"":[{""name"":""RO filter housing"",""estimatedPrice"":""₹300 - ₹800""}]},{""cause"":""Worn out O-rings or gaskets in the RO filter system."",""severity"":""low"",""solution"":""Replace the O-rings or gaskets. These are usually found at the connections or inside the filter housing."",""probability"":0.1,""estimatedCost"":""₹50 - ₹200"",""requiredParts"":[{""name"":""RO filter O-ring/gasket set"",""estimatedPrice"":""₹50 - ₹200""}]},{""cause"":""Faulty water pressure regulator causing excessive pressure."",""severity"":""high"",""solution"":""Check the water pressure. If it's too high, a pressure regulator might be needed or the existing one might be faulty and require replacement."",""probability"":0.05,""estimatedCost"":""₹800 - ₹2000 (for regulator and installation)"",""requiredParts"":[{""name"":""Water pressure regulator"",""estimatedPrice"":""₹600 - ₹1500""}]}],""summary"":""The RO water filter in your room is leaking. This is a minor issue that started today and is affecting only your room. It's likely due to a loose connection, a cracked housing, or worn-out seals."",""urgency"":""medium"",""recommendedAction"":""First, try tightening all connections around the RO filter. If the leak continues, inspect the filter housing for cracks and consider replacing O-rings/gaskets. If the problem persists, it might be a pressure issue requiring a professional to assess and fix.""}",Resolution posting,2026-07-16 07:41:21.80577+00,"{""A1"":650}"
5b3ce2f8-faab-4fcb-a3c7-dcabdb6cdc64,00000000-0000-0000-0000-000000000001,7934badb-1059-4191-a4f4-a54e31d99bba,null,890b32d9-f754-8150-5a18-8a21fcdf3828,f825c883-6815-d3b1-7a49-620004f0a7ae,c2ff0c11-4d1b-7b9b-b93c-aa37c9b6c40b,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,Carbon Filter,1,450,450,In-house,bed,450,2026-07,RO Water Issues,[],"{""causes"":[{""cause"":""Loose connection in the RO water filter's plumbing."",""severity"":""medium"",""solution"":""Tighten all visible connections around the RO filter. If the leak persists, disconnect and reconnect the pipes, ensuring a snug fit."",""probability"":0.6,""estimatedCost"":""₹0 - ₹50 (for basic tools if not available)""},{""cause"":""Cracked or damaged RO filter housing."",""severity"":""medium"",""solution"":""Inspect the filter housing for any visible cracks. If found, the housing will need to be replaced."",""probability"":0.25,""estimatedCost"":""₹300 - ₹800"",""requiredParts"":[{""name"":""RO filter housing"",""estimatedPrice"":""₹300 - ₹800""}]},{""cause"":""Worn out O-rings or gaskets in the RO filter system."",""severity"":""low"",""solution"":""Replace the O-rings or gaskets. These are usually found at the connections or inside the filter housing."",""probability"":0.1,""estimatedCost"":""₹50 - ₹200"",""requiredParts"":[{""name"":""RO filter O-ring/gasket set"",""estimatedPrice"":""₹50 - ₹200""}]},{""cause"":""Faulty water pressure regulator causing excessive pressure."",""severity"":""high"",""solution"":""Check the water pressure. If it's too high, a pressure regulator might be needed or the existing one might be faulty and require replacement."",""probability"":0.05,""estimatedCost"":""₹800 - ₹2000 (for regulator and installation)"",""requiredParts"":[{""name"":""Water pressure regulator"",""estimatedPrice"":""₹600 - ₹1500""}]}],""summary"":""The RO water filter in your room is leaking. This is a minor issue that started today and is affecting only your room. It's likely due to a loose connection, a cracked housing, or worn-out seals."",""urgency"":""medium"",""recommendedAction"":""First, try tightening all connections around the RO filter. If the leak continues, inspect the filter housing for cracks and consider replacing O-rings/gaskets. If the problem persists, it might be a pressure issue requiring a professional to assess and fix.""}",Resolution posting,2026-07-16 07:41:22.016223+00,"{""A1"":450}"
61b318b1-bca2-407e-8474-7760b32d5484,00000000-0000-0000-0000-000000000001,3d26fc71-98fb-4052-a26c-40e7b044d63b,null,22b0be2d-52c5-1127-642d-4f1083b404ca,d406c520-d5c0-dce0-90fa-222f3e8c6d05,188aee4d-68e0-1ddb-38e6-a946bc75072d,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,Labour,1,210,210,In-house,apartment,210,2026-07,Toilet Issues,[],"{""causes"":[{""cause"":""Tripped Circuit Breaker (MCB/RCCB)"",""severity"":""low"",""solution"":""Locate the main electrical panel for your room or bathroom and check if any circuit breaker (MCB/RCCB) is in the 'off' or tripped position. Flip it completely off and then back on to reset it."",""probability"":50,""estimatedCost"":""₹0""},{""cause"":""Loose or Damaged Wiring Connection"",""severity"":""medium"",""solution"":""A loose wire connection at the switchboard, within the switches, or in the main distribution box could be preventing power flow. An electrician will need to inspect and secure these connections."",""probability"":30,""estimatedCost"":""₹200 - ₹500"",""requiredParts"":[]},{""cause"":""Faulty Switches"",""severity"":""medium"",""solution"":""The internal mechanism of one or both switches might have failed. An electrician can test the switches and replace any faulty ones."",""probability"":20,""estimatedCost"":""₹400 - ₹800"",""requiredParts"":[{""name"":""Restroom Switch"",""estimatedPrice"":""₹100 - ₹300""},{""name"":""Geyser Switch"",""estimatedPrice"":""₹100 - ₹300""}]}],""summary"":""The restroom switch and geyser switch in your room are not working. This issue started yesterday, is a first-time occurrence, and is isolated to your room."",""urgency"":""medium"",""recommendedAction"":""First, check your electrical panel for a tripped circuit breaker and try resetting it. If the issue persists, it is recommended to contact an electrician to inspect the wiring and switches.""}",Resolution posting,2026-07-22 05:55:47.466219+00,"{""A1"":70,""C1"":70,""C2"":70}"
fce3946a-204f-4d56-8bcc-288b6458a41d,00000000-0000-0000-0000-000000000001,8709bba9-ca03-4034-9bc8-85f2f2143034,null,1a171004-7682-1c39-e6a2-758b668c33b0,8aaf14fc-4fb9-d280-3018-d757243c952b,a361bd0d-c2c1-2aee-6303-d65de004edd0,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,Labour,1,5500,5500,In-house,bed,5500,2026-07,AC Issues,[],"{""causes"":[{""cause"":""Severely Clogged Air Filter"",""severity"":""medium"",""solution"":""The AC filter is likely completely blocked, preventing air circulation. Clean or replace the air filter immediately. Regular cleaning (every 2-4 weeks) is crucial for optimal performance."",""probability"":0.7,""estimatedCost"":""₹200 - ₹800"",""requiredParts"":[{""name"":""AC filter"",""estimatedPrice"":""₹300 - ₹800""}]},{""cause"":""Faulty Blower Motor or Capacitor"",""severity"":""high"",""solution"":""If the filter is clean and still no air comes out, the blower motor (which pushes air through the vents) or its capacitor might be faulty. A technician will need to inspect and potentially repair or replace these components."",""probability"":0.25,""estimatedCost"":""₹1500 - ₹5000"",""requiredParts"":[{""name"":""Blower motor"",""estimatedPrice"":""₹1500 - ₹4000""},{""name"":""Blower motor capacitor"",""estimatedPrice"":""₹300 - ₹800""}]},{""cause"":""Blocked Ductwork"",""severity"":""medium"",""solution"":""Less likely if no air is coming from any vent, but there could be a significant obstruction in the ductwork itself. This would require inspection and clearing by a professional."",""probability"":0.05,""estimatedCost"":""₹500 - ₹1500""}],""summary"":""The AC is turning on, but no air is coming out from the vents, and the filter has not been cleaned recently. This strongly suggests an airflow obstruction, most likely due to a severely dirty air filter or a problem with the blower motor."",""urgency"":""medium"",""recommendedAction"":""First, check and thoroughly clean or replace the AC air filter. If cleaning the filter does not restore airflow, then it is recommended to call a technician to inspect the blower motor and related components.""}",Resolution posting,2026-07-28 09:13:10.874779+00,"{""A1"":5500}"
49215bf0-3b2d-43d9-9987-e8eb74f6c07f,00000000-0000-0000-0000-000000000001,2186bdc7-f92c-4cce-95be-2dc2d768696f,null,062b56c4-c469-4ef7-b4e6-9615dd770ec9,55651f47-6f7b-13b3-1e26-3ca9b9e5e72d,dc4adc21-f501-0573-2e9a-d7bbbc89e5d6,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,Labour,1,2500,2500,In-house,bed,2500,2026-07,AC Issues,[],"{""causes"":[{""cause"":""Severely Clogged Air Filter"",""severity"":""medium"",""solution"":""Clean or replace the AC air filter. This is often overlooked and can drastically reduce airflow."",""probability"":0.7,""estimatedCost"":""₹200 - ₹500"",""requiredParts"":[{""name"":""AC Filter"",""estimatedPrice"":""₹300""}]},{""cause"":""Faulty Blower Motor"",""severity"":""high"",""solution"":""The motor responsible for pushing air through the vents might be faulty or seized. It will need repair or replacement."",""probability"":0.25,""estimatedCost"":""₹2,500 - ₹7,000"",""requiredParts"":[{""name"":""Blower Motor"",""estimatedPrice"":""₹3,500""}]},{""cause"":""Faulty Blower Motor Capacitor"",""severity"":""medium"",""solution"":""The capacitor helps start the blower motor. If it's faulty, the motor won't run. It needs to be replaced."",""probability"":0.05,""estimatedCost"":""₹800 - ₹1,500"",""requiredParts"":[{""name"":""Capacitor"",""estimatedPrice"":""₹500""}]}],""summary"":""The AC unit is turning on, but no air is being circulated, making the room uncomfortable. This is most likely due to a severely clogged air filter, which is preventing air from passing through, or a malfunction with the blower motor that pushes air out."",""urgency"":""high"",""recommendedAction"":""Immediately check and clean or replace the AC air filter. If this does not resolve the issue, a qualified technician should be called to inspect the blower motor and its associated electrical components.""}",Resolution posting,2026-07-22 06:39:06.247334+00,"{""C2"":2500}"
eb0de66a-15b0-4e4e-a752-1adb94f0e10b,00000000-0000-0000-0000-000000000001,2d713c73-7e76-4895-a544-5c78e46173fb,null,89d188b4-94a9-2f97-e068-155ed8ec3f5e,ebfa9ad2-0c93-9cd6-f85e-2d7449609b84,211a2b33-4e94-3da1-7d97-406bc26036f5,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,Health Faucet Set (With Hose),1,300,300,In-house,apartment,300,2026-04,Toilet Issues,[],"{""causes"":[{""cause"":""Loose connection at the flush gun or the water supply line."",""severity"":""low"",""solution"":""Tighten the connections at the flush gun and the water supply line using a wrench. Check for any visible cracks or damage in the hose."",""probability"":0.6,""estimatedCost"":""₹0 - ₹50"",""requiredParts"":[{""name"":""Wrench"",""estimatedPrice"":""₹0 (if available)""}]},{""cause"":""Worn out rubber washer (gasket) inside the flush gun."",""severity"":""medium"",""solution"":""Replace the rubber washer inside the flush gun. This usually involves unscrewing the head of the flush gun, removing the old washer, and inserting a new one."",""probability"":0.3,""estimatedCost"":""₹50 - ₹150"",""requiredParts"":[{""name"":""Flush gun washer/gasket kit"",""estimatedPrice"":""₹30 - ₹100""}]},{""cause"":""Cracked or damaged flush gun hose."",""severity"":""medium"",""solution"":""Replace the entire flush gun hose. This involves turning off the water supply, unscrewing the old hose from both ends, and attaching a new one."",""probability"":0.1,""estimatedCost"":""₹200 - ₹500"",""requiredParts"":[{""name"":""New flush gun hose"",""estimatedPrice"":""₹150 - ₹400""}]}],""summary"":""The toilet flush gun in the common washroom is leaking. The issue was noticed today, is minor, and is a first-time occurrence with no specific trigger. It is only affecting this washroom."",""urgency"":""low"",""recommendedAction"":""First, try tightening the connections of the flush gun. If the leakage persists, inspect the rubber washer and replace it if worn out. If the hose itself is damaged, it will need to be replaced.""}",Resolution posting,2026-04-24 13:24:41.038067+00,"{""A1"":100,""C1"":100,""C2"":100}"
3737edca-2c7b-4484-95ba-9a7864440db4,00000000-0000-0000-0000-000000000001,084a0c36-2582-40e3-8475-6aba20bc16fc,null,03ce56c0-8798-b95d-7125-311b80363e74,f9b73f69-33c8-b36d-daf6-c7078c00692c,417c9738-a0f7-5a00-1091-37a9fd083dd6,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,Labour,1,100,100,In-house,bed,100,2026-04,Fridge Issues,[],"{""causes"":[{""cause"":""Excessive ice buildup in the freezer compartment."",""severity"":""medium"",""solution"":""Defrost the freezer completely. Unplug the fridge and leave the door open for several hours, or use a hairdryer on a low setting to speed up the process. Once defrosted, clean and dry the interior."",""probability"":0.7,""estimatedCost"":""₹0 - ₹50 (for cleaning supplies if needed)""},{""cause"":""Faulty defrost heater or defrost thermostat."",""severity"":""high"",""solution"":""The defrost heater or thermostat may not be functioning correctly, leading to continuous ice buildup. This will require a technician to diagnose and replace the faulty part."",""probability"":0.2,""estimatedCost"":""₹1000 - ₹3000"",""requiredParts"":[{""name"":""Defrost Heater"",""estimatedPrice"":""₹500 - ₹1500""},{""name"":""Defrost Thermostat"",""estimatedPrice"":""₹300 - ₹800""}]},{""cause"":""Clogged or blocked defrost drain."",""severity"":""medium"",""solution"":""A clogged defrost drain can cause water to pool and freeze, leading to ice buildup. Clear the drain hole, often located at the back of the freezer, using warm water or a small pipe cleaner."",""probability"":0.1,""estimatedCost"":""₹0 - ₹100 (for pipe cleaner if needed)""}],""summary"":""The fridge is experiencing heavy ice buildup in the freezer, despite the motor running and the door sealing properly. This suggests an issue with the defrost system."",""urgency"":""high"",""recommendedAction"":""Start by manually defrosting the freezer completely. If the problem reoccurs, it's recommended to call a technician to inspect the defrost heater, thermostat, and drain for potential faults.""}",Resolution posting,2026-04-28 04:52:33.750526+00,"{""C1"":100}"
